condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D1,27,hold,velocity,0.11686234751292106,-0.43948214159735827,0.2751886436130672,0.1841423369517853,0.513727208503255,1.0375953772398436,1.1168623475129211,0.5605178584026417,1.2751886436130673
D1,27,hold,smoothness,-0.1164428913600317,-0.3801224770275397,0.3248534768894505,0.24633320168778527,0.49502022970193826,0.9535743403721213,0.8835571086399682,0.6198775229724602,1.3248534768894504
D2,7,intercept,object,2.91193671631813,1.067999685160319,3.8403797246694564,2.912120944341024,3.9690368849436437,3.718162089173301,3.9119367163181304,2.067999685160319,4.840379724669457
D2,7,intercept,grasp,0.5958987265777587,0.2760807742462158,0.7852012017440795,0.7178901699829102,0.8980143572235108,1.5677725124188668,1.5958987265777589,1.2760807742462157,1.7852012017440793
D2,7,intercept,compression,-0.18648954438154333,-0.27958551249153146,-0.04862911587761176,0.37523990219567116,0.41616976050779586,0.8230951229792464,0.8135104556184567,0.7204144875084686,0.9513708841223882
D2,7,intercept,velocity,-0.05677396696060896,-0.6296090903142467,0.13261575211584564,0.25997160661965607,0.6490442822314799,0.8336349177629253,0.943226033039391,0.3703909096857533,1.1326157521158458
D2,7,intercept,smoothness,-0.31473953729883525,-0.5537176003265366,2.909245526736669,0.3869493393775174,3.130668156276745,1.0344799053977816,0.6852604627011647,0.4462823996734634,3.9092455267366684
D2,7,pre_impact,object,1.8568058723608651,1.0552831245025,3.234292468420664,1.8568504707813265,3.4973313434918727,2.998901722167485,2.8568058723608654,2.0552831245025,4.234292468420664
D2,7,pre_impact,grasp,0.37268615295410157,0.20319123968124392,0.6223002840652465,0.5031605097198486,0.8067704183197022,1.3932826568554753,1.3726861529541015,1.203191239681244,1.6223002840652467
D2,7,pre_impact,compression,-0.11042089047814617,-0.18819668947992327,-0.04109394855883744,0.3322192463913645,0.4126197698594197,0.8873341091500603,0.8895791095218538,0.8118033105200767,0.9589060514411625
D2,7,pre_impact,velocity,-0.07890078588397235,-0.585483404411878,0.07884856193321997,0.22372932431520973,0.6329688946752056,0.8325884520941825,0.9210992141160277,0.41451659558812204,1.07884856193322
D2,7,pre_impact,smoothness,-0.2922316280541878,-0.5285363707226719,1.648427620180846,0.34194102802898313,2.5869866146309746,0.9363858941916806,0.7077683719458122,0.4714636292773281,2.6484276201808465
D2,7,capture,object,1.7713533941453405,1.2060246123905367,2.359173299445725,1.8435892875523334,2.80030450677251,2.7713408944018467,2.7713533941453403,2.2060246123905367,3.359173299445725
D2,7,capture,grasp,0.3191722310027149,0.20212540967485784,0.43732634302315665,0.4656924720531873,0.6558014072630282,1.3181381126516307,1.3191722310027145,1.2021254096748577,1.4373263430231566
D2,7,capture,compression,-0.028882347554650332,-0.09412489601928016,0.038149852727833534,0.36137326318418406,0.4491675797770872,0.9709649071334016,0.9711176524453498,0.9058751039807198,1.0381498527278337
D2,7,capture,velocity,-0.07166958714520626,-0.5121765088133075,0.13658018941661318,0.22027934726261758,0.7175908299736994,0.8616364342989054,0.9283304128547937,0.4878234911866926,1.136580189416613
D2,7,capture,smoothness,-0.2501311824951768,-0.4918070883579358,1.4978859561221378,0.35709453592036,1.843902859070695,0.9636800420795651,0.7498688175048231,0.5081929116420641,2.4978859561221376
D2,7,hold,object,0.570266198246779,0.35877176935431576,0.8364916379346586,0.5848142389721322,2.6380062788436263,1.582527936871996,1.570266198246779,1.3587717693543155,1.8364916379346587
D2,7,hold,grasp,0.09250196913804605,0.04018031933682192,0.147835872062398,0.18352614194439018,0.6282864663190783,1.094792824194521,1.092501969138046,1.040180319336822,1.147835872062398
D2,7,hold,compression,0.07825535487189107,0.014823418966820849,0.12271114163350061,0.1492680830244177,0.40596750111351876,1.0773379620725156,1.0782553548718912,1.0148234189668208,1.1227111416335005
D2,7,hold,velocity,-0.04086864915853421,-0.3268935419122473,0.04015180781676548,0.1034242430902011,0.6094700114938637,0.9083072204313515,0.9591313508414657,0.6731064580877527,1.0401518078167655
D2,7,hold,smoothness,-0.1458755406868781,-0.2931941425937035,0.31250305015763485,0.1747099380409445,1.7006712268030402,0.9021417058811179,0.8541244593131219,0.7068058574062965,1.3125030501576347
D2,17,intercept,object,2.0294752707481383,0.4393821868101756,9.97628568935394,2.029925038854281,11.808641797701519,3.9099317740486255,3.0294752707481383,1.4393821868101755,10.976285689353942
D2,17,intercept,grasp,1.9345763668823241,0.8363037976989748,2.349779072944641,1.9376563875579835,2.512244944610596,2.8546680901215904,2.934576366882324,1.8363037976989747,3.349779072944641
D2,17,intercept,compression,1.9248909079485998,0.8185905511514762,2.2254948460609487,1.9250964351915354,2.636653299269776,2.8437231456445544,2.9248909079486,1.8185905511514762,3.2254948460609487
