condition,seed,episode,term,mean,std,min,max,updates
D1,7,300,policy_surrogate_loss,1.78968267779e-08,1.22487936731e-07,-2.07766890525e-07,3.73154878617e-07,42
D1,7,399,total_actor_loss,0.0119931791886,0.00189628830811,0,0.0122937262058,41
D1,7,399,entropy_bonus,0.0119931828569,0.00189628887677,-0,0.012293633461,41
D1,7,399,policy_surrogate_loss,-3.66822975467e-09,7.72067215505e-08,-2.44967639446e-07,1.79067254066e-07,41
D1,17,0,total_actor_loss,0.0125267607637,3.09236377668e-07,0.0125257410109,0.0125272879377,41
D1,17,0,entropy_bonus,0.0125267640556,2.93176886552e-07,0.0125257177353,0.0125272903442,41
D1,17,0,policy_surrogate_loss,-3.29188457362e-09,8.44165019125e-08,-2.87115573884e-07,1.49160623551e-07,41
D1,17,100,total_actor_loss,0.0120725875669,0.00204064031741,0,0.0124190328643,36
D1,17,100,entropy_bonus,0.0120725879404,0.00204064037139,-0,0.0124189147949,36
D1,17,100,policy_surrogate_loss,-3.73563832934e-10,6.72375787611e-08,-1.6675144434e-07,1.57088041306e-07,36
D1,17,200,total_actor_loss,0.0122962651422,6.71593781969e-07,0.012294546701,0.0122969187796,37
D1,17,200,entropy_bonus,0.0122962509877,6.54220545513e-07,0.0122946853638,0.0122967538834,37
D1,17,200,policy_surrogate_loss,1.41544921976e-08,9.37194572539e-08,-2.18227505684e-07,3.28242778777e-07,37
D1,17,300,total_actor_loss,0.0118569418083,0.00197615748039,0,0.0121892625466,37
D1,17,300,entropy_bonus,0.0118569441873,0.00197615788468,-0,0.0121892690659,37
D1,17,300,policy_surrogate_loss,-2.37895024799e-09,7.99392819719e-08,-1.33357942104e-07,1.87285244464e-07,37
D1,17,399,total_actor_loss,0.0121348723315,1.45028647276e-07,0.0121342949569,0.0121351201087,41
D1,17,399,entropy_bonus,0.0121348864393,8.96682569095e-08,0.012134636879,0.0121349716187,41
D1,17,399,policy_surrogate_loss,-1.41077652213e-08,1.06032443043e-07,-3.41922044754e-07,2.61284410953e-07,41
D1,27,0,total_actor_loss,0.0125207024195,2.1446122575e-06,0.012518604286,0.0125256851315,41
D1,27,0,entropy_bonus,0.0125207011525,2.15036043289e-06,0.0125186023712,0.0125257177353,41
